年度,積地_都道府県名,積地_港名,揚地_都道府県名,揚地_港名,サンプル数,平均_総トン数,平均_載貨重量トン数,用途_自動車専用船_サンプル数,用途_自動車専用船_総トン数,用途_自動車専用船_載貨重量トン数,用途_セメント専用船_サンプル数,用途_セメント専用船_総トン数,用途_セメント専用船_載貨重量トン数,用途_石灰石専用船_サンプル数,用途_石灰石専用船_総トン数,用途_石灰石専用船_載貨重量トン数,用途_石炭専用船_サンプル数,用途_石炭専用船_総トン数,用途_石炭専用船_載貨重量トン数,用途_コンテナ専用船_サンプル数,用途_コンテナ専用船_総トン数,用途_コンテナ専用船_載貨重量トン数,用途_RORO船_サンプル数,用途_RORO船_総トン数,用途_RORO船_載貨重量トン数,用途_その他の貨物船_サンプル数,用途_その他の貨物船_総トン数,用途_その他の貨物船_載貨重量トン数,用途_油送船_サンプル数,用途_油送船_総トン数,用途_油送船_載貨重量トン数,用途_プッシャーバージ又は台船_サンプル数,用途_プッシャーバージ又は台船_総トン数,用途_プッシャーバージ又は台船_載貨重量トン数,平均_積載率,平均_貨物の重量,平均_輸送距離,積地_経度,積地_緯度,揚地_経度,揚地_緯度
2017,神奈川県,川崎港,兵庫県,飾磨港,17,528.2941176470588,1183.9411764705883,,,,,,,,,,,,,,,,,,,,,,17.0,528.2941176470588,1183.9411764705883,,,,45.33906379666664,750.9411764705883,381.4117647058824,139.63795,35.44403,139.89156,36.19485
2023,愛知県,名古屋港,愛知県,豊田港,2,498.0,1730.0,,,,,,,,,,,,,,,,,,,2.0,498.0,1730.0,,,,,,,28.78612716763006,482.5,24.0,136.90642,35.18143,136.90642,35.18143
2019,北海道,浦河港,神奈川県,扇島港,8,685.375,2157.5,,,,,,,,,,,,,,,,,,,8.0,685.375,2157.5,,,,,,,31.62489047591161,2093.75,530.0,142.76822,42.16835,139.63795,35.44403
2022,山口県,徳山港,大阪府,木津川港,36,355.75,848.75,,,,,,,,,,,,,,,,,,,14.0,385.9285714285714,922.2857142857144,22.0,336.54545454545456,801.9545454545455,,,,43.12717127734776,537.9166666666666,219.5555555555556,141.06302,40.28997,140.36612,37.58281
2023,三重県,四日市港,東京都,羽田空港,15,3929.4,4998.733333333334,,,,,,,,,,,,,,,,,,,,,,15.0,3929.4,4998.733333333334,,,,78.60780612838587,1960.3333333333333,185.0,136.59062,34.98973,139.75363,35.694
2021,北海道,室蘭港,大阪府,大阪港,154,498.75324675324674,1726.4935064935064,,,,,,,,,,,,,,,,,,,154.0,498.75324675324674,1726.4935064935064,,,,,,,28.92895525672225,1186.655844155844,854.9285714285714,140.97379,42.3152,140.36612,37.58281
2017,兵庫県,広畑港,茨城県,鹿島港,50,812.78,1754.9,,,,,,,,,,,,,,,,,,,,,,50.0,812.78,1754.9,,,,44.19844346477582,174.6,434.0,139.89156,36.19485,140.47122,36.36586
2018,岡山県,倉敷港,大分県,大分港,8,422.5,1078.375,,,,,,,,,,,,,,,,,,,2.0,199.0,730.0,6.0,497.0,1194.5,,,,38.02067775796232,887.875,145.25,140.7886,38.02327,130.62473,33.58446
2023,福岡県,北九州港,広島県,広島港,3,497.0,1763.0,,,,,,,,,,,,,,,,,,,3.0,497.0,1763.0,,,,,,,28.19058423142371,2833.333333333333,117.66666666666669,141.33398,40.27981,141.56363,42.98566
2021,福岡県,新門司港,愛知県,豊橋港,1,12691.0,5820.0,,,,,,,,,,,,,,,,1.0,12691.0,5820.0,,,,,,,,,,218.05841924398624,1.0,421.0,136.93686,36.71347,136.90642,35.18143
