年度,モード,品目,発,北海道_着,青森県_着,岩手県_着,宮城県_着,福島県_着,秋田県_着,山形県_着,茨城県_着,栃木県_着,群馬県_着,埼玉県_着,千葉県_着,東京都_着,神奈川県_着,新潟県_着,富山県_着,石川県_着,福井県_着,山梨県_着,長野県_着,静岡県_着,岐阜県_着,愛知県_着,三重県_着,滋賀県_着,京都府_着,奈良県_着,和歌山県_着,大阪府_着,兵庫県_着,鳥取県_着,島根県_着,岡山県_着,広島県_着,山口県_着,香川県_着,愛媛県_着,徳島県_着,高知県_着,福岡県_着,佐賀県_着,長崎県_着,熊本県_着,大分県_着,宮崎県_着,鹿児島県_着,沖縄県_着
2021,鉄道,軽工業品,愛知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,自動車,化学工業品,熊本県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15267,0,334748,106516,47412,14105210,10054,159975,196501,0
2022,鉄道,化学工業品,徳島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,自動車,農林水産,山口県,0,0,0,15626,0,0,0,0,0,0,15626,21112,16915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80163,53643,0,682,31420,30665,719440,0,0,0,0,142746,6657,6657,0,0,0,0,0
2022,自動車,その他,埼玉県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,自動車,特殊品,静岡県,0,68363,0,51274,165680,0,0,22843,138,0,78766,124827,18375,355957,22353,23247,789,461468,697931,54900,19371715,0,3518013,80696,2210,0,0,26822,226654,0,0,0,91883,71784,46982,0,59205,61785,0,311375,19735,37084,6428,0,0,0,0
2017,自動車,その他,青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,海運,軽工業品,和歌山県,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,海運,農林水産,埼玉県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,自動車,鉱産品,千葉県,0,0,0,0,0,0,0,284553,33045,0,562943,17345871,753788,1508570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,鉄道,軽工業品,山口県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,鉄道,化学工業品,愛知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
